Number,Station name ,اسم المحطه ,Station location,,lon,lat,Station type ,نوع المحطه ,Train type,نوع القطار,Line,رقم الخط,country ,الدولة,governorate,المحافظه,city,المدينه 
1,Adly Mansour,عدلي منصور,"https://maps.google.com/?q=29.9231,31.27890",,31.4215,30.1441,Interchange Hub,محطة تبادلية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,El-Salam City,مدينة السلام
2,El-Obour,العبور,"https://maps.google.com/?q=29.9231,31.27891",,31.5312,30.1589,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Qalyubia,القاهرة,El-Obour City,مدينة العبور
3,El-Mustakbal,المستقبل,"https://maps.google.com/?q=29.9231,31.27892",,31.5941,30.1622,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,El-Mustakbal City,مدينة المستقبل
4,El-Shorouk,الشروق,"https://maps.google.com/?q=29.9231,31.27893",,31.6425,30.1648,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,El-Shorouk,مدينة الشروق
5,Heliopolis El-Gedida,هليوبوليس الجديدة,"https://maps.google.com/?q=29.9231,31.27894",,31.6911,30.1671,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,New Heliopolis,هليوبوليس الجديده 
6,Badr,بدر,"https://maps.google.com/?q=29.9231,31.27895",,31.7342,30.1384,Operational Junction,وصلة تشغيل,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,Badr City,مدينة بدر
7,El-Rubeiki,الروبيكي,"https://maps.google.com/?q=29.9231,31.27896",,31.7915,30.1421,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,Badr City,مدينة بدر
8,Industrial Zone,المنطقة الصناعية,"https://maps.google.com/?q=29.9231,31.27897",,31.8412,30.1495,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,Badr City,مدينة بدر
9,Knowledge City,مدينة المعرفة,"https://maps.google.com/?q=29.9231,31.27898",,31.9084,30.1162,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,New Capital,العاصمه الإدارية الجديدة 
10,Capital Airport,مطار العاصمة,"https://maps.google.com/?q=29.9231,31.27899",,31.9421,30.0894,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,New Capital,العاصمه الإدارية الجديدة 
11,Arts and Culture City,الفنون والثقافة,"https://maps.google.com/?q=29.9353,31.27060",,31.7104,29.9881,Interchange,محطة تبادلية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,New Capital,العاصمه الإدارية الجديدة 
12,New Capital 1,العاصمة الإدارية ١,"https://maps.google.com/?q=29.9353,31.27061",,31.7511,29.9212,Terminal Station,محطة نهائية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,New Capital,العاصمه الإدارية الجديدة 
1,Stadium,الاستاد,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.9602,31.25881",,31.3254,30.0621,Interchange Hub,محطة تبادلية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Nasr City,مدينة نصر
